Cycle,qMax
1,11463.0
2,11396.471927209208
3,11381.184621287835
4,11327.384152473536
5,11335.3175233044
6,11304.166057282744
7,11228.706510201571
8,11193.146079161144
9,11165.585589043985
10,11278.902230224621
11,11205.946401107494
12,11131.482416955832
13,11052.704363248675
14,10999.057198152745
15,11016.149678865533
16,10964.407665084307
17,10908.736302788566
18,10826.455319808967
19,10775.116149288135
20,10761.185199169062
21,10692.189317762957
22,10579.245611342114
23,10561.830247387978
24,10543.32050311923
25,10790.065229628819
26,10731.087482078381
27,10633.120856536856
28,10566.89117463691
29,10524.404048376846
30,10463.690845290428
31,10386.790041518652
32,10349.511159054915
33,10279.290998633163
34,10229.101847059826
35,10214.064665378502
36,10159.113678400852
37,10052.5932216865
38,10058.758089575607
39,10009.252928690781
40,10392.755178614827
41,10190.146132730268
42,10125.354992607301
43,10030.9344853483
44,9950.643257093763
45,9899.788069506287
46,10693.254640979352
47,10594.730617000132
48,10478.113533285052
49,10358.486181380476
50,10256.293738072707
51,10288.704954790046
52,10217.028513332009
53,10043.261766078676
54,10001.76287179748
55,9958.914306419447
56,10341.26946088611
57,10136.466911821699
58,10002.183129484947
59,9878.915683622694
60,9809.388291198362
61,9764.849288612799
62,9704.66120931709
63,9618.581658699974
64,9562.797798453123
65,9518.118406794985
66,9512.843486908369
67,9411.407092336636
68,9359.335616606484
69,9328.760382453565
70,9292.646703989476
71,9516.903759909917
72,9423.235382884412
73,9323.39629782815
74,9269.628066048685
75,9222.248679113118
76,9201.102210047697
77,9113.174822199238
78,9125.515082541859
79,9061.721331247492
80,8998.050195573533
81,9029.00952503797
82,8922.875639198699
83,8907.890187905583
84,8880.230849629743
85,8814.990999934831
86,9135.712209216732
87,9032.419781383483
88,8930.581131668665
89,8886.212529234881
90,8764.996990471704
91,9002.883528262359
92,8887.99321851436
93,8832.737600447677
94,8804.098646795412
95,8740.663458998917
96,8767.384076567037
97,8688.183805921144
98,8622.598416791316
99,8605.680046156373
100,8584.511132893174
101,8575.848800915366
102,8524.38030955295
103,8503.172491645888
104,8466.880760666425
105,8448.973617805303
106,9040.940729276292
107,8978.00139275722
108,8907.930791934925
109,8853.864367583239
110,8762.487671716077
111,8758.515209415797
112,8662.137324657317
113,8688.343336160564
114,8653.681784299439
115,8588.420905991428
116,8646.545131200404
117,8526.98977237691
118,8505.975985311885
119,8466.262625439407
120,8392.134035699062
121,8835.146532365623
122,8710.61350934318
123,8679.704946028101
124,8596.990879616691
125,8541.762338881228
126,8550.419818891238
127,8529.316190068654
128,8491.431023625535
129,8444.403741155296
130,8383.012254169844
131,8444.49349743069
132,8356.30278689559
