,Cycle,qMax,R0,D
0,1.0,11434.121176359247,0.1001114300295863,4700513.658134833
1,2.0,11376.64631924568,0.10010080228153392,4700785.834874543
2,3.0,11314.859306356595,0.10045560611940015,4701299.656325253
3,4.0,11322.886016548253,0.10039452605213725,4701524.20378567
4,5.0,11318.107298029614,0.10039714732280018,4701310.385227581
5,6.0,11314.770899439154,0.10043570759598579,4701585.882173957
6,7.0,11312.530528590214,0.10044435386996206,4701620.8107966
7,8.0,11260.748741726844,0.10059347410678628,4700118.834014785
8,9.0,11248.206525359603,0.10050517341371219,4700244.578376908
9,10.0,11249.101556855612,0.10048469077287256,4700111.215239892
10,11.0,11252.43360456516,0.10057620000431308,4698326.970486097
11,12.0,11193.858900091898,0.10023560617737541,4695157.739009235
12,13.0,11186.22749971546,0.10026033748628793,4694516.748914977
13,14.0,11180.889148942146,0.10027217531575827,4694440.09174028
14,15.0,11123.25638062805,0.10021285367673874,4693612.473787499
15,16.0,11120.580917449262,0.10018807731325019,4694158.200720703
16,17.0,11125.268779445207,0.10026512457439278,4694323.64839243
17,18.0,11133.962817367983,0.10033913741679434,4692759.756356912
18,19.0,11134.706491185127,0.10033078814649514,4692757.931592043
19,20.0,11390.210006891717,0.09543702234052226,4663923.953617705
20,21.0,11390.562907424746,0.09544395427078009,4663986.798239019
21,22.0,11325.897034873075,0.09559185746776792,4664064.97228206
22,23.0,11255.050204268311,0.09566098352603164,4663764.4779484775
23,24.0,11260.20842594833,0.09577419440756108,4662248.229805004
24,25.0,11265.834400420315,0.09583218619418395,4660938.007521354
25,26.0,11191.251625419873,0.09587835844230715,4661478.202209302
26,27.0,11202.420618167273,0.09603416169015137,4662210.92933562
27,28.0,11184.156126694998,0.09615828047244743,4661779.012847444
28,29.0,11123.07008070003,0.09593667240598097,4658773.681551135
29,30.0,11122.776899513407,0.09724026716871506,4657244.515297578
30,31.0,11373.169717559587,0.0986395907509445,4727444.35142074
31,32.0,11239.62969615075,0.09678451763537081,4736587.1963009285
32,33.0,11177.881625457358,0.09685805713161746,4736174.903854623
33,34.0,11120.803212267081,0.09658150455167394,4733369.359658334
34,35.0,11090.690737931376,0.09668112830468677,4737652.59666962
35,36.0,11050.312076730404,0.09685222607884135,4738267.577807588
36,37.0,10993.503674790998,0.09681537931561923,4737038.77146658
37,38.0,10956.032068849587,0.09698655069857073,4735943.476659791
38,39.0,10898.6003923004,0.09702639350942315,4735878.538256319
39,40.0,10895.755417400373,0.09701758094130142,4735743.9167196825
40,41.0,10871.111528020949,0.0975214189790126,4738257.483301929
41,42.0,10838.484498382839,0.09765313015034913,4739646.836683533
42,43.0,10914.55187380134,0.0988741091372206,4748966.269907014
43,44.0,10841.219324524407,0.0988422689280051,4750040.5431403555
44,45.0,10763.644553601674,0.09892676134754814,4750474.789351426
45,46.0,10707.10536467491,0.0988424228042025,4749194.108511002
46,47.0,10670.181149338387,0.09921225295863918,4753079.036302882
47,48.0,11046.41104072929,0.10365713275845394,4990388.093843321
48,49.0,10981.69802113943,0.10600164084853902,4979873.132061033
49,50.0,10885.81621332413,0.10829141873631384,4968089.496817568
50,51.0,10828.844982670667,0.10739740639610965,4960223.771333737
51,52.0,10760.692361085557,0.11016468598171716,4950998.991363786
52,53.0,10728.928320966237,0.11002873021109008,4950513.339378949
53,54.0,10692.391330690096,0.11138627647940987,4982333.47214873
54,55.0,10637.643337862748,0.11298565857654048,4961685.7130306745
55,56.0,10573.407173614185,0.11238716738968191,5006454.143998951
56,57.0,10540.485097473349,0.11232248364078176,5009004.126339692
57,58.0,10504.20584056539,0.11229642246378205,5008736.369961422
58,59.0,10489.85221744156,0.11270229204774543,5051637.688589154
59,60.0,10450.092508516924,0.11292648481033922,5044936.776234661
60,61.0,10391.455456519812,0.11306881447998399,5031074.792021945
61,62.0,10314.905313352132,0.11125178993794067,5072153.928356909
62,63.0,10324.930691900905,0.11105381081686513,5068450.362891953
63,64.0,10258.93657339225,0.10927580816362607,5107615.119031513
64,65.0,10237.047356485851,0.10892254032522233,5103837.113934419
65,66.0,10208.678302237853,0.10914199710633414,5112515.425427775
66,67.0,10139.160104676006,0.10816182701364493,5149465.168212502
67,68.0,10113.89947802965,0.10830063283788768,5158653.867058632
68,69.0,10072.424226421039,0.11167611601466068,5169228.619999176
69,70.0,10045.280789474678,0.11193843650842658,5174183.378588606
70,71.0,10014.97951247371,0.11241617598098592,5181845.16997397
71,72.0,9951.909074324145,0.11094862397902065,5237955.350838844
72,73.0,9929.06008408172,0.1104326042504535,5246296.44612801
73,74.0,9900.089590956728,0.11128538248713626,5204421.81025212
74,75.0,9829.999505175798,0.11071638756937215,5242700.393137816
75,76.0,9809.160598305436,0.1109912101754295,5237460.65931099
76,77.0,9789.672841503307,0.1113545910688207,5244042.379394654
77,78.0,9869.323372193126,0.11137427570881415,5244951.8276002295
78,79.0,9734.88189163468,0.11694298949425488,5221736.510749098
79,80.0,9670.054521695118,0.11534729671274227,5270572.672213413
80,81.0,9648.250372597204,0.11603011198271,5265350.566448325
81,82.0,9644.257048865282,0.11607005232854677,5265512.869876164
82,83.0,9620.570761228466,0.11807234552002735,5240321.263277773
83,84.0,9594.549890364047,0.1184897359783262,5204826.996131115
84,85.0,9520.377495821158,0.11976317500506628,5249783.886046365
85,86.0,9446.622852732462,0.12218246715755585,5136060.582231601
86,87.0,9462.67636784735,0.12215225597861093,5134752.992686048
87,88.0,9407.514580007039,0.12172532199519073,5100023.41860214
88,89.0,9378.412936691539,0.12146143478204352,5110675.928474999
89,90.0,9847.333583526115,0.1173845006728387,5161498.891877487
90,91.0,9650.806262084809,0.11244902067215039,4905104.121481668
91,92.0,9565.091073899544,0.11109071066817369,4951868.199983722
92,93.0,9461.67772804348,0.11014312126377439,4974410.691589176
93,94.0,9432.807908340848,0.11179835017921338,4987835.94883167
94,95.0,9369.582255667927,0.11473527632702282,5030720.975364787
95,96.0,9343.070232219125,0.11537936333642329,5037657.546426215
96,97.0,9302.347253963037,0.11618912961403063,5033297.547296036
97,98.0,9276.138616506356,0.11673560551850697,5030397.56535562
98,99.0,9223.498651711769,0.12014507424254224,5023345.864595423
99,100.0,9192.802666624777,0.12160623462652767,5056957.200452403
