Cycle,qMax_origin,qMax
1.0,11434.121176359247,11434.121176359247
2.0,11376.64631924568,11376.64631924568
3.0,11314.859306356597,11314.859306356597
4.0,11322.886016548253,11322.886016548253
5.0,11318.107298029614,11318.107298029614
6.0,11314.770899439154,11314.770899439154
7.0,11312.530528590214,11312.530528590214
8.0,11260.748741726844,11260.748741726844
9.0,11248.206525359605,11248.206525359605
10.0,11249.101556855612,11249.101556855612
11.0,11252.43360456516,11252.43360456516
12.0,11193.858900091898,11193.858900091898
13.0,11186.22749971546,11186.22749971546
14.0,11180.889148942146,11180.889148942146
15.0,11123.25638062805,11123.25638062805
16.0,11120.580917449262,11120.580917449262
17.0,11125.268779445209,11125.268779445209
18.0,11133.962817367985,11133.962817367985
19.0,11134.706491185128,11134.706491185128
20.0,11390.210006891715,11390.210006891715
21.0,11390.562907424746,11390.562907424746
22.0,11325.897034873076,11325.897034873076
23.0,11255.050204268313,11255.050204268313
24.0,11260.20842594833,11260.20842594833
25.0,11265.834400420315,11265.834400420315
26.0,11191.251625419873,11191.251625419873
27.0,11202.420618167273,11202.420618167273
28.0,11184.156126694998,11184.156126694998
29.0,11123.07008070003,11123.07008070003
30.0,11122.776899513408,11122.776899513408
31.0,11373.169717559587,11373.169717559587
32.0,11239.62969615075,11239.62969615075
33.0,11177.881625457358,11177.881625457358
34.0,11120.80321226708,11120.80321226708
35.0,11090.690737931376,11090.690737931376
36.0,11050.312076730404,11050.312076730404
37.0,10993.503674790998,10993.503674790998
38.0,10956.032068849589,10956.032068849589
39.0,10898.6003923004,10898.6003923004
40.0,10895.755417400373,10895.755417400373
41.0,10871.111528020949,10871.111528020949
42.0,10838.48449838284,10838.48449838284
43.0,10914.55187380134,10914.55187380134
44.0,10841.219324524409,10841.219324524409
45.0,10763.644553601674,10763.644553601674
46.0,10707.10536467491,10707.10536467491
47.0,10670.181149338388,10670.181149338388
48.0,11046.41104072929,11046.41104072929
49.0,10981.69802113943,10981.69802113943
50.0,10885.81621332413,10885.81621332413
51.0,10828.844982670667,10828.844982670667
52.0,10760.692361085556,10760.692361085556
53.0,10728.928320966235,10728.928320966235
54.0,10692.391330690096,10692.391330690096
55.0,10637.643337862748,10637.643337862748
56.0,10573.407173614183,10573.407173614183
57.0,10540.485097473347,10540.485097473347
58.0,10504.20584056539,10504.20584056539
59.0,10489.85221744156,10489.85221744156
60.0,10450.092508516924,10450.092508516924
61.0,10391.455456519812,10391.455456519812
62.0,10314.905313352132,10314.905313352132
63.0,10324.930691900903,10324.930691900903
64.0,10258.93657339225,10258.93657339225
65.0,10237.047356485851,10237.047356485851
66.0,10208.678302237851,10208.678302237851
67.0,10139.160104676006,10139.160104676006
68.0,10113.89947802965,10113.89947802965
69.0,10072.42422642104,10072.42422642104
70.0,10045.280789474678,10045.280789474678
71.0,10014.97951247371,10014.97951247371
72.0,9951.909074324143,9951.909074324143
73.0,9929.06008408172,9929.06008408172
74.0,9900.089590956728,9900.089590956728
75.0,9829.999505175798,9829.999505175798
76.0,9809.160598305436,10010.714939844585
77.0,9789.672841503309,9810.976899499901
78.0,9869.323372193126,9795.548366382869
79.0,9734.88189163468,9757.213899681126
80.0,9670.054521695118,9189.557027449691
81.0,9648.250372597204,9595.264138255268
82.0,9644.257048865282,9730.359184741295
83.0,9620.570761228466,9976.025367104314
84.0,9594.549890364047,9470.235653716138
85.0,9520.377495821158,9327.948388258666
86.0,9446.622852732462,9328.125113871332
87.0,9462.67636784735,9679.230217503771
88.0,9407.51458000704,9484.832851439965
89.0,9378.41293669154,9254.205187982712
90.0,9847.333583526117,9973.691474311801
91.0,9650.806262084809,9674.228177613706
92.0,9565.091073899544,9796.720512717635
93.0,9461.67772804348,9295.612724987395
