Cycle,FCG
1.0,6.9061
2.0,7.1882
3.0,7.1317
4.0,7.1229
5.0,7.2707
6.0,7.3554
7.0,7.2917
8.0,7.3596
9.0,7.4345
10.0,7.5207
11.0,7.5849
12.0,7.5866
13.0,7.6581
14.0,7.6669
15.0,7.7057
16.0,7.8993
17.0,7.991
18.0,8.0495
19.0,8.0007
20.0,8.0863
21.0,8.2497
22.0,8.2613
23.0,8.2458
24.0,8.3454
25.0,8.4789
26.0,8.5355
27.0,8.5179
28.0,8.6356
29.0,8.7067
30.0,8.716
31.0,8.8108
32.0,8.7702
33.0,9.0111
34.0,9.0522
35.0,9.0495
36.0,9.1621
37.0,9.2467
38.0,9.2659
39.0,9.2845
40.0,9.451
41.0,9.4201
42.0,9.5457
43.0,9.6259
44.0,9.6203
45.0,9.7572
46.0,9.7884
47.0,9.9296
48.0,9.9631
49.0,10.093
50.0,10.253
51.0,10.194
52.0,10.39
53.0,10.423
54.0,10.496
55.0,10.694
56.0,10.782
57.0,10.781
58.0,10.908
59.0,11.018
60.0,11.131
61.0,11.244
62.0,11.268
63.0,11.447
64.0,11.521
65.0,11.681
66.0,11.769
67.0,11.842
68.0,11.98
69.0,12.186
70.0,12.246
71.0,12.411
72.0,12.514
73.0,12.624
74.0,12.803
75.0,13.007
76.0,13.121
77.0,13.363
78.0,13.477
79.0,13.653
80.0,13.826
81.0,14.034
82.0,14.233
83.0,14.425
84.0,14.64
85.0,14.851
86.0,15.072
87.0,15.362
88.0,15.607
89.0,15.855
90.0,16.162
91.0,16.47
92.0,16.795
93.0,17.105
94.0,17.456
95.0,17.822
96.0,18.201
97.0,18.664
98.0,19.16
99.0,19.638
100.0,20.302
101.0,20.807
102.0,21.496
103.0,22.168
104.0,22.909
105.0,23.603
106.0,24.332
107.0,24.952
108.0,25.494
109.0,25.969
110.0,26.549
111.0,27.17
112.0,28.067
113.0,29.467
